dcterms:modified	institutionCode	collectionCode	basisOfRecord	catalogNumber	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	identifiedBy	dateIdentified	typeStatus	recordNumber	fieldNumber	recordedBy	eventDate	continent	country	stateProvince	county	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	verbatimElevation	verbatimDepth	sex	lifeStage	preparations	individualCount	otherCatalogNumbers	occurrenceRemarks	samplingProtocol	identificationQualifier	habitat	associatedTaxa	georeferenceRemarks	verbatimCoordinates	verbatimSRS	associatedMedia	CreativeCommonsLicense	ArtObsID	occurrenceID	UTMsone	UTMX	UTMY	datasetName	
2018-03-27	O	F	Preserved specimen	24045	Trichia varia	(Pers. ex J.F. Gmel.) Pers.									Edvin Johannesen	1979-03-13				F.-E. Eckblad	1957-09-08		Norway	Østfold	Hobøl	Hobøl: Tomter,	10.9952	59.6594	1000											på askehaug		GS	33V 274419,6620285	WGS84					33	274419	6620285		
2019-01-15	O	F	Preserved specimen	236471	Puccinia violae	(Schumach.) DC.									Ivar Jørstad	1942-06-27				Ivar Jørstad	1942-06-27		Norway	Oppland	Gjøvik	Snertingdal: Tomter	10.3324	60.8998	500													GS	33V 246900,6760645	WGS84					33	246900	6760645		
2013-09-30	O	F	Preserved specimen	70666	Cortinarius venustus	P. Karst.									Egil Bendiksen, Tor Erik Brandrud					Petter Tomter	1993-09-05		Norway	Oppland	Gran	Brandbu, sør for Åstjern	10.5914	60.4896	71											eldre blåbærgranskog		OR	32V NN 874,071	ED50					33	257853	6714206		
2013-09-30	O	F	Preserved specimen	126489	Strobilurus esculentus	(Wulfen : Fr.) Singer									Gro Gulden	1965-10-18		38		Jens Stordal	1961-04-09		Norway	Østfold	Hobøl	Svikebol nord for Tomter st.	11.0337	59.6873	707													GS	32V PM 14,18	ED50					33	276764	6623420		
2013-09-30	O	F	Preserved specimen	184624	Epichloë typhina	(Pers.: Fr.) Tul. & C. Tul.									Ivar Jørstad					E. Heiaas	1948-07-02		Norway	Østfold	Hobøl	Hobøl, Tomter	11.0029	59.66	1710													GS	32V PM 118-138,139-165	WGS84					33	274857	6620329		
2019-01-15	O	F	Preserved specimen	235089	Pucciniastrum pyrolae	Dietel ex Arthur									Ivar Jørstad	1958-09-11				Ivar Jørstad	1958-09-11		Norway	Oppland	Gjøvik	Snertingdal: Tomterseteren i Sør-Kråkhuguet	10.2864	60.9793	500	680 m												GS	33V 245047,6769661	WGS84					33	245047	6769661		
2017-12-15	O	F	Preserved specimen	234011	Naohidemyces vacciniorum	(Link) Spooner									Ivar Jørstad	1958-09-14				Ivar Jørstad	1958-09-14		Norway	Oppland	Gjøvik	Snertingdal: mell. Drogsetseteren og Tomterseteren	10.2877	60.9774	200													GS	33V 245104,6769440	WGS84					33	245104	6769440		
2019-01-15	O	F	Preserved specimen	234191	Naohidemyces vacciniorum	(Link) Spooner									Ivar Jørstad	1958-09-11				Ivar Jørstad	1958-09-11		Norway	Oppland	Gjøvik	Snertingdal: Tomterseteren	10.2864	60.9793	500	Ca. 680 m												GS	33V 245047,6769661	WGS84					33	245047	6769661		
2013-09-30	O	F	Preserved specimen	288096	Coleosporium tussilaginis	(Pers.) Lév.									Kåre Arnstein Lye	2007-08-23		30761		Kåre Arnstein Lye	2007-08-23		Norway	Østfold	Hobøl	Hobøl: Tomter sogn, ved nyanlegget nord for Tomter gravkapell.	11.0114	59.6545	71	115 m										On the host Tussilago farfara Asteraceae), i nyanlagt plen		OR	32V PM 133,146	WGS84					33	275301	6619686		
2019-01-15	O	F	Preserved specimen	340178	Blumeria graminis	(DC.) Speer									Ivar Jørstad	1958-09-11				Ivar Jørstad	1958-09-11		Norway	Oppland	Gjøvik	Tomtersæteren	10.2864	60.9793	500	700 m												GS	33V 245047,6769661	WGS84					33	245047	6769661		
2013-09-30	O	F	Preserved specimen	153012	Russula nigricans	(Bull.) Fr.									Finn Roll-Hansen	1942-08-16				Finn Roll-Hansen	1942-08-16		Norway	Akershus	Ås	Mellom Vold og Tomter	10.7623	59.6581	1278										1	i granskog		GS	32V NM-PM 982-003,140-152	WGS84					33	261301	6620955		
2013-09-30	O	F	Preserved specimen	104262	Exidia recisa	(Ditmar : Fr.) Fr.									Anna-Elise Torkelsen					Finn-Egil Eckblad	1965-04-18		Norway	Østfold	Hobøl	Tolfshus, v/Tomter,	10.9864	59.6513	570											på tørre grener av Salix caprea		GS	32V PM 116-122,138-146	WGS84					33	273870	6619414		
2013-09-30	O	F	Preserved specimen	157287	Scutellinia vitreola	Kullman									Trond Schumacher	1984-02				Finn-Egil Eckblad	1957-09-08		Norway	Østfold	Hobøl	Tomter, på avfallsplass	11.0029	59.66	1710													GS	32V PM 118-138,139-165	WGS84					33	274857	6620329		
2013-09-30	O	F	Preserved specimen	213095	Taphrina betulina	Rostr.									Ivar Jørstad					F. Werenskiold	1886-07		Norway	Akershus	Ås	Aas: (Tomter)	10.7728	59.6566	707													GS	32V NM-PM 994-003,140-149	WGS84					33	261885	6620752		
