id1	id	type	modified	rightsHolder	accessRights	collectionID	datasetID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	informationWithheld	materialSampleID	occurrenceID	catalogNumber	recordNumber	recordedBy	sex	lifeStage	preparations	disposition	associatedMedia	organismID	eventDate	continent	waterBody	country	countryCode	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	identifiedBy	dateIdentified	identificationQualifier	typeStatus	scientificNameID	scientificName	kingdom	class	order	family	genus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalCode	items
urn:uuid:a6664399-c354-5338-90c7-3eda3610a5fe	urn:uuid:71d437de-5c43-420b-946a-a708a6fb2ac7	PhysicalObject	2019-01-31T18:47:26	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:71d437de-5c43-420b-946a-a708a6fb2ac7	urn:uuid:71d437de-5c43-420b-946a-a708a6fb2ac7	NHMO-BI-100021/1-B	LEJ221	Johannessen, Lars Erik	Male		Blood	Existing		urn:uuid:a6664399-c354-5338-90c7-3eda3610a5fe	2017-12-10	Europe		Norway	NO	Akershus	Ås	Slorhøgda 63	80		59.756389	10.773333	WGS84	10		Johannessen, Lars Erik	2018-12-17				Sitta europaea europaea Linnaeus, 1758	Animalia	Aves	Passeriformes	Sittidae	Sitta	europaea	europaea		ICZN	Blood
urn:uuid:a2835966-8071-50b1-8b59-37c00a3296ed	urn:uuid:1a647eb5-93be-4e0d-8938-fe1e26876cb6	PhysicalObject	2020-04-06T00:05:01	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	PreservedSpecimen	location	urn:uuid:1a647eb5-93be-4e0d-8938-fe1e26876cb6	urn:uuid:1a647eb5-93be-4e0d-8938-fe1e26876cb6	NHMO-BI-100022/1-P		Johnsen, Henrik Sigbjørn	Male		Study skin	Existing		urn:uuid:a2835966-8071-50b1-8b59-37c00a3296ed	2018-04-20	Europe		Norway	NO	Østfold	Halden									Bjerke, Bjørn Aksel	2018-05-15				Bubo bubo bubo (Linnaeus, 1758)	Animalia	Aves	Strigiformes	Strigidae	Bubo	bubo	bubo		ICZN	Study skin, Muscle
urn:uuid:e559ab78-be21-5d80-a597-9f8061e936d2	urn:uuid:fce65cbf-53fc-4bc9-8cb6-532942a7d79f	PhysicalObject	2020-04-06T00:05:01	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	PreservedSpecimen		urn:uuid:fce65cbf-53fc-4bc9-8cb6-532942a7d79f	urn:uuid:fce65cbf-53fc-4bc9-8cb6-532942a7d79f	NHMO-BI-100023/1-P		Herland, Raymond	Female		Study skin	Existing		urn:uuid:e559ab78-be21-5d80-a597-9f8061e936d2	2014-08-31	Europe		Norway	NO	Østfold	Eidsberg	Slittungveien, Slitu			59.584028	11.265444	WGS84	100		Johannessen, Lars Erik	2018-12-16				Pyrrhula pyrrhula pyrrhula (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Fringillidae	Pyrrhula	pyrrhula	pyrrhula		ICZN	Study skin, Muscle
urn:uuid:ff826d09-666e-547b-a7bf-0ffca9550584	urn:uuid:6ef73be0-98b7-4c2f-8977-dda1049be77b	PhysicalObject	2020-04-06T00:05:01	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	PreservedSpecimen		urn:uuid:6ef73be0-98b7-4c2f-8977-dda1049be77b	urn:uuid:6ef73be0-98b7-4c2f-8977-dda1049be77b	NHMO-BI-100024/1-P		Nergaard, Anders	Male	Adult	Study skin	Existing		urn:uuid:ff826d09-666e-547b-a7bf-0ffca9550584	2018-06-20	Europe		Norway	NO	Oslo	Oslo	Botanisk hage, NHM			59.918611	10.771111	WGS84	500		Johannessen, Lars Erik	2018-12-08				Erithacus rubecula rubecula (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Muscicapidae	Erithacus	rubecula	rubecula		ICZN	Study skin, Muscle
urn:uuid:44911a68-7d64-5697-9a70-81ac86ce3890	urn:uuid:4b737311-14fc-45c5-928f-bf5a384dd4cd	PhysicalObject	2019-05-16T15:37:07	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:4b737311-14fc-45c5-928f-bf5a384dd4cd	urn:uuid:4b737311-14fc-45c5-928f-bf5a384dd4cd	NHMO-BI-100026/1-B	N2-U1-D2	Johnsen, Arild	Unknown		Blood	Existing		urn:uuid:44911a68-7d64-5697-9a70-81ac86ce3890	2018-06-20	Europe		Norway	NO	Oppland	Øystre Slidre	Øvre Heimdalen			61.416667	8.866667	WGS84	4000		Johnsen, Arild	2018-06-20				Luscinia svecica svecica (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Muscicapidae	Luscinia	svecica	svecica		ICZN	Blood
urn:uuid:f8730362-ea73-5eff-855f-45baf31f55cb	urn:uuid:74f18d35-fd23-446b-b787-17a226852a8f	PhysicalObject	2019-05-16T15:37:07	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:74f18d35-fd23-446b-b787-17a226852a8f	urn:uuid:74f18d35-fd23-446b-b787-17a226852a8f	NHMO-BI-100027/1-B	N2-U2-D2	Johnsen, Arild	Unknown		Blood	Existing		urn:uuid:f8730362-ea73-5eff-855f-45baf31f55cb	2018-06-20	Europe		Norway	NO	Oppland	Øystre Slidre	Øvre Heimdalen			61.416667	8.866667	WGS84	4000		Johnsen, Arild	2018-06-20				Luscinia svecica svecica (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Muscicapidae	Luscinia	svecica	svecica		ICZN	Blood
urn:uuid:d3c1feb4-ba0e-5d57-ae0b-5a334c60fa3b	urn:uuid:123a1cee-adcb-4fe4-b4e7-edc6cffc5912	PhysicalObject	2019-05-16T15:37:07	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:123a1cee-adcb-4fe4-b4e7-edc6cffc5912	urn:uuid:123a1cee-adcb-4fe4-b4e7-edc6cffc5912	NHMO-BI-100028/1-B	N2-U3-D2	Johnsen, Arild	Unknown		Blood	Existing		urn:uuid:d3c1feb4-ba0e-5d57-ae0b-5a334c60fa3b	2018-06-20	Europe		Norway	NO	Oppland	Øystre Slidre	Øvre Heimdalen			61.416667	8.866667	WGS84	4000		Johnsen, Arild	2018-06-20				Luscinia svecica svecica (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Muscicapidae	Luscinia	svecica	svecica		ICZN	Blood
urn:uuid:7c1c20ff-2805-5999-a2c9-958ef8f8d523	urn:uuid:c88c6c19-3d31-4c2a-ad6f-2c41be7346e5	PhysicalObject	2019-05-16T15:37:07	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:c88c6c19-3d31-4c2a-ad6f-2c41be7346e5	urn:uuid:c88c6c19-3d31-4c2a-ad6f-2c41be7346e5	NHMO-BI-100029/1-B	N2-U4-D2	Johnsen, Arild	Unknown		Blood	Existing		urn:uuid:7c1c20ff-2805-5999-a2c9-958ef8f8d523	2018-06-20	Europe		Norway	NO	Oppland	Øystre Slidre	Øvre Heimdalen			61.416667	8.866667	WGS84	4000		Johnsen, Arild	2018-06-20				Luscinia svecica svecica (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Muscicapidae	Luscinia	svecica	svecica		ICZN	Blood
urn:uuid:8b26caa9-163a-5f7f-b4fd-c5116e208f90	urn:uuid:8ddc80fc-1bf0-4a0a-b454-73ede949ac89	PhysicalObject	2019-01-31T18:28:40	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:8ddc80fc-1bf0-4a0a-b454-73ede949ac89	urn:uuid:8ddc80fc-1bf0-4a0a-b454-73ede949ac89	NHMO-BI-10003/1-B	AJ185	Johnsen, Arild	Unknown	Pullus	Blood	Existing		urn:uuid:8b26caa9-163a-5f7f-b4fd-c5116e208f90	2006-06-30	Europe		Norway	NO	Oppland	Øystre Slidre	Øvre Heimdalen			61.416667	8.866667	WGS84	4000		Johnsen, Arild	2006-06-30				Luscinia svecica svecica (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Muscicapidae	Luscinia	svecica	svecica		ICZN	Blood, gDNA
urn:uuid:554d0785-8631-5303-94cd-f766e89559ae	urn:uuid:6507c008-ac7f-447b-9337-148987e81805	PhysicalObject	2019-05-16T15:37:07	Natural History Museum, University of Oslo, Norway	Samples in the NHMO Bird collection are available for loans to the general scientific community, on the conditions set out in the Grant policy of the NHMO DNA Bank (see http://www.nhm.uio.no/english/research/infrastructure/dna-bank/). However, juridical or other limitations may apply to samples, which will have to be clarified before such samples can be loaned. To search the collection directly, go to https://nhmo-birds.collectionexplorer.org/.	http://grbio.org/cool/wes0-t2ie	urn:uuid:eed9945f-3269-441a-af05-c9eed530ee62	NHMO	BI	NHMO	MaterialSample		urn:uuid:6507c008-ac7f-447b-9337-148987e81805	urn:uuid:6507c008-ac7f-447b-9337-148987e81805	NHMO-BI-100030/1-B	N2-U5-D2	Johnsen, Arild	Unknown		Blood	Existing		urn:uuid:554d0785-8631-5303-94cd-f766e89559ae	2018-06-20	Europe		Norway	NO	Oppland	Øystre Slidre	Øvre Heimdalen			61.416667	8.866667	WGS84	4000		Johnsen, Arild	2018-06-20				Luscinia svecica svecica (Linnaeus, 1758)	Animalia	Aves	Passeriformes	Muscicapidae	Luscinia	svecica	svecica		ICZN	Blood
