PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;PopulærnavnBokmål;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnNynorsk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnSamisk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar
"216725";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Rana";;;"catesbeiana";;;;"1574";"209881";14.09.2021;"Shaw, 1802";"Synonym";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205265;216713;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1579";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Rana";"Pelophylax";;"lessonae";;;;"1578";"1578";06.02.2015;"Camerano, 1882";"Synonym";"Ingen_bistatus";29.05.2012;30.04.2009;;;;;107923;147963;"Ja";"damfrosk";;"Bokmål";"Ja";29.05.2012;29.05.2012;;"damfrosk";;"Nynorsk";"Ja";29.05.2012;29.05.2012;;;;;;;;;
"1580";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Rana";"Pelophylax";;"ridibunda";;;;"1578";"1579";06.02.2015;"Pallas, 1771";"Synonym";"Ingen_bistatus";09.12.2009;30.04.2009;;;;;107922;147962;"Ja";"latterfrosk";;"Bokmål";"Ja";09.12.2009;09.12.2009;;"latterfrosk";;"Nynorsk";"Ja";09.12.2009;09.12.2009;;;;;;;;;
"120063";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Rana";"Pelophylax";;"kl. esculenta";;;;"1578";"111320";06.02.2015;;"Synonym";"Ingen_bistatus";14.03.2012;22.12.2009;;;;"Rana kl. esculenta - hybrid mellom Rana ridibunda og R. lessonae (Kl. = klepton)";107921;147961;"Ja";"hybridfrosk";;"Bokmål";"Ja";14.03.2012;14.03.2012;;;;;;;;;;;;;;;;
"120064";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Rana";"Pelophylax";;"lessonae";;;"sørlig lessonae";"1579";"111321";20.03.2015;;"Synonym";"Ingen_bistatus";30.05.2012;22.12.2009;;;;;112082;152038;"Nei";"kontinental damfrosk";;"Bokmål";"Ja";30.05.2012;30.05.2012;;;;;;;;;;;;;;;;
"1576";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Rana";"Rana";;"temporaria";;;;"1575";"1575";30.04.2009;"Linnaeus, 1758";"Gyldig";"Ingen_bistatus";28.02.2018;30.04.2009;;;;;1575;1576;"Ja";"buttsnutefrosk";;"Bokmål";"Ja";13.09.2009;13.09.2009;;"buttsnutefrosk";;"Nynorsk";"Ja";13.09.2009;13.09.2009;;;;;;;;;
"1577";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Ranidae";;;;"Rana";"Rana";;"arvalis";;;;"1575";"1576";30.04.2009;"Nilsson, 1842";"Gyldig";"Ingen_bistatus";30.04.2009;30.04.2009;;;;;1576;1577;"Ja";"spissnutefrosk";;"Bokmål";"Ja";13.09.2009;13.09.2009;;"spissnutefrosk";;"Nynorsk";"Ja";13.09.2009;13.09.2009;;;;;;;;;
"1570";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bufonidae";;;;"Bufo";;;;;;;"1569";"1569";30.04.2009;;"Gyldig";"Ingen_bistatus";30.04.2009;30.04.2009;;;;;1569;1570;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169464";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bufonidae";;;;"Epidalea";;;;;;;"1569";"161200";;;"Gyldig";"Ingen_bistatus";13.01.2017;13.01.2017;;;;;140071;169464;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216694";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bufonidae";;;;"Rhinella";;;;;;;"1569";"209850";;"Fitzinger, 1826";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205232;216694;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216695";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bufonidae";;;;"Rhinella";;;"marina";;;;"216694";"209851";14.09.2021;"(Linnaeus, 1758)";"Gyldig";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205234;216695;"Nei";;;;;;;;;;;;;;;;;;;;;;
"169465";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bufonidae";;;;"Epidalea";;;"calamita";;;;"169464";"161201";;"Laurenti, 1768)";"Gyldig";"Ingen_bistatus";05.09.2017;13.01.2017;;;;;140072;169465;"Nei";"strandpadde";;"Bokmål";"Ja";13.01.2017;13.01.2017;;;;;;;;;;;;;;;;
"1571";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bufonidae";;;;"Bufo";"Bufo";;;;;;"1570";"1570";30.04.2009;;"Gyldig";"Ingen_bistatus";30.04.2009;30.04.2009;;;;;1570;1571;"Nei";;;;;;;;;;;;;;;;;;;;;;
"216693";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bufonidae";;;;"Bufo";;;"marinus";;;;"1570";"209849";14.09.2021;"(Linnaeus, 1758)";"Synonym";"Ingen_bistatus";14.09.2021;14.09.2021;;;;;205234;216695;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1572";"Animalia";;"Chordata";"Vertebrata";;"Amphibia";;;;;"Anura";;;;"Bufonidae";;;;"Bufo";"Bufo";;"bufo";;;;"1571";"1571";30.04.2009;"(Linnaeus, 1758)";"Gyldig";"Ingen_bistatus";28.02.2018;30.04.2009;;;;;1571;1572;"Ja";"nordpadde";;"Bokmål";"Ja";13.09.2009;13.09.2009;;"nordpadde";;"Nynorsk";"Ja";13.09.2009;13.09.2009;;;;;;;;;
